newID,Title,Content
2,"[속보] 李대통령 ""내란, 특검에만 의존 말고 독자 조사도 해야""","이재명 대통령은 11일 ""우리 사회 일부에서 시대착오적인 차별과 혐오가 횡행하고 있다""며 이에 대한 처벌 장치를 조속히 마련하라고 지시했다.
이 대통령은 이날 용산 대통령실에서 주재한 국무회의 모두발언에서 ""최근 꽤 여러차례 말씀드렸는데 한번 더 언급한다""면서 ""우리 사회 일부에서 인종, 출신 국가 등을 가지고 정말로 시대착오적인 차별과 혐오가 횡행하고 있다""고 지적했다.
이재명 대통령이 지난 7일 대전광역시 국립중앙과학관에서 열린 ‘다시 과학기술인을 꿈꾸는 대한민국 국민보고회’에서 발언을 하고 있다. 대통령실사진기자단
그러면서 ""이 사회가 점차 양극화되는 와중에 이렇게 극단적인 표현이 사회 불안을 계속 확대시키고 있다""며 ""특히 SNS 등에서 특정 대상을 향한 표현이 무차별적으로 유포되고 허위조작 정보가 범람하고 있다. 더이상 이를 묵과해서는 안 된다""고 강조했다.
이 대통령은 ""이는 표현의 자유를 넘어서는 명백한 범죄 행위""라며 ""혐오 표현에 대한 처벌 장치를 조속히 마련하고 허위 조작 정보 유포 행위를 근본적으로 차단하고 엄정하게 처벌하는 데 총력을 기울여야 한다""고 밝혔다.
그는 ""인종 혐오, 차별, 사실관계 왜곡 조작 이같은 잘못된 정보 유통은 민주주의를 위협하는 행위이자 사람들의 일상을 위협하는 행위이기 때문에 추방해야 하는 범죄""라며 ""정치권에서도 허위조작 근절에 동참해주시길 당부드린다""고 말했다.
한편 이 대통령은 이날 김민석 국무총리가 12·3 비상계엄 등 내란 사태에 관여한 공직자들을 내부 조사하고 필요한 인사 조치를 논의하기 위해 '헌법존중 정부혁신 TF' 구성을 제안한 데 대해 ""당연히 해야 할 일""이라고 동조했다.
이 대통령은 “내란 사안에 대해서는 특검이 형사처벌을 진행하고 있지만, 책임의 정도에 따라 형사처벌 외에도 행정적 책임을 묻거나 인사상 문책 또는 인사 조치를 할 정도의 낮은 수준도 있기 때문에 꼭 필요할 것 같다""며 ""이는 특검에 의존할 게 아니라 정부가 독자적으로 처리해야 할 사안""이라고 말했다."
3,"정부, 암표에 칼 빼든다…""과징금 최대 30배, 신고자에겐 포상금""","7일 잠실야구장에서 열리는 2025KBO리그 LG트윈스와 SSG랜더스의 경기가 만원관중과 함께 팽팽한 승부가 이어지고 있다.  /사진=강영조
정부가 문화예술계와 체육계의 오랜 고민이었던 불법 입장권(암표) 근절에 나선다. 이재명 대통령은 과징금을 상향하고 신고 포상금을 도입하는 등 방안을 함께 검토하라고 11일 지시했다.
최휘영 문화체육관광부 장관은 이날 이 대통령 주재로 열린 제49회 국무회의에서 암표에 대해 ""정가를 초과한 판매 자체를 일률적으로 금지하고 매크로 여부와 무관하게 제재할 것""이라며 ""관련법을 개정해 웃돈을 받고 (티켓을) 판매하는 것을 전면 금지토록 하겠다""고 말했다.
최 장관은 정가를 초과해 판매하는 상습 위반자를 가중처벌하고, 부정취득 이득보다 훨씬 큰 액수의 과징금 부과 등 방안을 제시했다. 신고한 사람에게 포상금을 지급하는 방안도 검토하겠다고 밝혔다.
이 대통령은 이 중 형벌 조항을 늘리는 방안에 대해서는 실효성이 떨어진다고 반대했다. 이 대통령은 ""(암표 사건을) 형사 사건으로 가져가게 되면 시간과 인력 소모가 크다""며 ""과징금을 판매 총액의 10배에서 30배까지 상향하고, 신고자에게 합리적으로 포상금을 지급하는 방안이 낫다""고 말했다.
최휘영 문화체육관광부 장관이 11일 서울 용산 대통령실 청사에서 열린 국무회의에서 발언하고 있다. / 사진 = 대통령실통신사진기자단
정부는 이후 문체부를 중심으로 경찰청, 국세청 등 관계 기관과 협력해 현장 점검을 강화한다. 또 공연법과 국민체육진흥법 등에 흩어져 있는 관련 조항을 하나로 통일하는 법체계 정비 필요성에 대해서도 논의한다.
이날 국무회의에서는 체육계 단체장의 연임을 금지하고 선출 방식을 투표(온라인 직선제)로 바꾸는 안건도 논의됐다. 대한체육회에서 우선 시행하고, 이후 17개 시도체육회와 대한축구협회 등 68개 종목단체에 단계적으로 적용하도록 유도한다.
이 대통령은 이에 대해 연임뿐만 아니라 중임까지 제한해야 한다면서 ""혁신적인 제도""라고 긍정적인 반응을 보였다."
4,"혁신당, 전당대회 레이스 돌입…조국 ""지선서 양당독점 파괴""","21∼23일 온라인 투표로 지도부 선출…당대표 曺 단독출마·최고위원 후보 4명
당대표 출마 선언하는 조국
[연합뉴스 자료사진]
(서울=연합뉴스) 김정진 안정훈 기자 = 조국혁신당은 11일 전국당원대회 출발식을 열고 새 지도부 선출을 위한 전당대회 일정에 공식적으로 돌입했다.
황명필 중앙당 선거관리위원장은 이날 출발식에서 ""이번 임시 전당대회는 우리의 초심을 재확인하고 지방선거를 승리로 이끌 지도부를 선출하는 매우 중요한 행사""라며 '진심으로 다시, 혁신으로 전진'이라는 전당대회 슬로건을 발표했다.
오는 21∼23일 진행되는 온라인 투표를 통해 당 대표, 최고위원 2명이 선출되며 결과는 23일 청주 오스코에서 열리는 전당대회 행사에서 발표된다.
12일에는 후보자를 당원에게 소개하는 '다시 쓰는 프로필', 14일과 19일에는 정책·비전 검증 대담회, 17일과 21일 각각 호남과 영남 지역 대담회가 예정돼있다.
당 대표 후보로는 조국 전 비상대책위원장이 단독 출마했으며 최고위원 후보는 임형택 익산시공동지역위원장, 정춘생 의원, 정경호 전 한국로슈 노동조합위원장, 신장식 의원(이상 기호순) 등 4명이다.
조 전 위원장은 출발식에서 ""지난 총선에서 독자적 힘으로 국회의 교두보를 마련했듯 내년 지방선거에서도 조국혁신당의 힘으로 지방정치 교두보를 세우겠다""며 ""양당 독점 지역에 창조적 파괴를 일으키겠다""고 말했다.
stopn@yna.co.kr"
5,"민주 ""친윤 검사, 선택적 항명""...국민의힘 ""몸통은 이 대통령""","[앵커]
대장동 사건 항소 포기를 두고 검찰 내부 반발이 들끓는 가운데 정치권 시선도 서초동에 쏠리고 있습니다.
민주당은 친윤 검사들의 선택적 항명이라며 강력한 대처를 예고했고, 국민의힘은 대검찰청을 항의 방문해 몸통은 이재명 대통령이라고 외쳤습니다.
국회로 가봅니다, 박정현 기자!
[기자]
네, 국회입니다.
[앵커]
민주당 분위기부터 살펴볼까요?
[기자]
민주당 핵심 관계자들은 YTN 통화에서 '모든 건 다 사법을 바로 세우는 범주 안에 있는 일'이라고 한 줄로 정리했습니다.
검찰이 그동안 허위·조작 기소를 얼마나 일삼았는지 이번 기회로 드러났고, 항소 포기 역시 검찰의 기계적 항소권 남용을 '자제한' 당연한 수순이라고 말했습니다.
법사위 소속인 민주당 서영교 의원은 라디오 인터뷰에서 검찰은 자신들이 무슨 짓을 했는지 반성해야지 집단행동할 때가 아니라며 이번 사태를 '검란'이라고 규정했습니다.
관련 발언 들어보겠습니다.
[서영교 / 더불어민주당 의원 : 김건희 사건이 있을 때 찍소리도 못하지 않았습니까? 윤석열 구속 취소됐을 때 찍소리도 못하고 즉시 항고하지 말자고 했던 검사들 아닙니까?]
다른 민주당 관계자도 정권에 따라 달라지는 검찰의 태도를 용납할 수가 없다며, 검찰 해체까지 이제 열 달 정도 남았는데 그 과정도 이렇게 방치해선 안 된다고, 추가 대응을 예고했습니다.
검사장들이 집단 성명을 낸 걸 두고도 검찰을 담당하는 대통령실 민정수석실을 향해 이런 심각한 공직기강 해이를 왜 두고만 보는지 모르겠다며 감찰을 촉구하기도 했습니다.
조승래 사무총장은 SNS에 글을 올려, 내란의 뿌리 국민의힘 본진은 역시 '친윤 정치검찰'이라며, 신호에 따라 분주히 움직이는 국민의힘이 마치 '파블로프 개'같다 비꼬았습니다.
'재판 외압'이라는 국민의힘 지적에 대해서도 '정치 공세'다, 일축했습니다.
정성호 법무장관이 했다는 '신중하게 판단하라'는 말은 장관 선에서 충분히 할 수 있는 아주 원칙적인 이야기일 뿐이라며, 이런 얘기도 압박으로 느꼈다면 그건 검찰의 '자격지심'에 지나지 않는다 반박했습니다.
국민의힘 장동혁 대표가 어제 대통령 탄핵 사유라고 언급한 것에 대해선, 공당의 대표가 할 처신이 아니라며, 날을 세웠습니다.
민주당 핵심 의원들은, 엄밀히 말해 이 대통령은 이 사건의 당사자는커녕 오히려 불똥만 맞은 피해자란 점을 강조하고 있습니다.
1심 판결문에도 당시 성남시장이던 이 대통령은 몰랐을 수 있다고 명시돼 있다면서 이 대통령 탄핵까지 운운하는 건 선을 넘어섰다고 비판했습니다.
[앵커]
국민의힘 반응은 어떤가요?
[기자]
국민의힘은 총력전 태세입니다.
오전 대검찰청에서 규탄대회를 열었는데요, 장동혁 대표는 '신중히 결정하라'는 정성호 장관 말이 자신에겐 조폭 두목이 밤길 조심하란 얘기처럼 들린다며 외압 의혹을 거듭 띄웠습니다.
민주당 김병기 원내대표 말처럼 국정조사도, 특검도 하자며 이를 통해 이 대통령을 탄핵하고 재판을 재개하자는 주장도 재차 내놨습니다.
[장동혁 / 국민의힘 대표 : 이 모든 건 이재명 때문입니다. 지금 엉망으로 망가지는 대한민국을 구하는 방법은 딱 하나입니다. 이재명을 대통령의 자리에서 내려오게 하는 것뿐입니다.]
송언석 원내대표는 노만석 검찰총장 대행을 향해 권력 앞에 스스로 벌렁 누운 이에게 검사 호칭도 아깝다며, 민주당이 검찰 조직의 정당한 항의에 이상한 항명 프레임을 씌운다고 쏘아붙였습니다.
규탄대회 뒤엔 노 대행 사퇴를 요구하며 대검 청사 내부 진입도 시도했습니다.
당은 이어서 오후엔 법무부를 항의 방문해 정성호 장관 면담을 요구할 계획입니다.
국민의힘은 이번 사태의 진상규명을 강조하는 만큼 국조부터 청문회 특검 등 모든 받겠다는 입장인데, 일단 오늘 오후 국회 법제사법위원회 전체회의가 첫 운동장이 될 것으로 보입니다.
국민의힘이 긴급 현안질의를 요구해 열리는 건데 다만 회의가 열려도 '항소 포기' 안건이 상정될지는 추미애 법사위원장 결정이기 때문에 내실 있는 회의가 이뤄질지는 불투명합니다.
정성호 법무부 장관 등의 출석도 현재로썬 가능성이 작다는 관측입니다.
국정조사의 경우, 여야 모두 필요성은 얘기하고 있는데 민주당은 '조작 기소' 국민의힘은 '항소 포기 외압' 이렇게 각각 요구하는 내용이 다른 상태라 여야 합의가 될지 미지수입니다.
국민의힘 당내에선 또 장외투쟁 필요성이 거론되는데, 일단 내일 국회에 당원들을 모아 규탄대회를 진행할 예정입니다.
지금까지 국회에서 전해드렸습니다.
※ '당신의 제보가 뉴스가 됩니다'
[카카오톡] YTN 검색해 채널 추가
[전화] 02-398-8585
[메일] social@ytn.co.kr"
6,"박정하 ""김건희에 명품백 선물한 김기현, 부끄럽고 참담""","사진=연합뉴스
김기현 국민의힘 의원의 배우자가 김건희 여사에게 100만원대 로저 비비에 명품 가방을 선물한 것에 대해 당내에서도 “부끄럽고 참담한 일”이라는 비판이 나왔다.
박정하 국민의힘 의원은 10일 MBC 라디오에 출연해 김 의원이 ""(김 여사가) 이런 브랜드를 좋아한다는 소문을 확인하고, '전당대회 도와줘서 고맙다'는 말까지 하면서 (명품 가방을 선물하는) 이런 일이 국민들한테 죄송스럽고 부끄러운 일""이라고 말했다.
박 의원은 당내 분위기를 묻는 진행자의 질문에 ""다들 불편한 건 말씀을 안 하시는 분위기가 굉장히 오래됐다""며 ""의원들이 이런저런 생각들을 하고 있는데 그걸 겉으로 표출을 안 하는 상황""이라고 전했다.
박 의원은 당내 의원들이 줄줄이 수사선상에 오르는 상황에 대해 ""국민적인 판단이 명확히 나올 수 있는 개별적인 건은 사과든 조치든 필요한 건 정리를 해야 '국민의힘이 싸우고 있고 민주당 혹은 정부가 잘못 가는 부분도 있구나 국민들이 생각할 텐데 다 묻어두고 그냥 '싸우자, 대통령을 어떻게 해야 한다' 하는 게 국민들에게 얼마나 전달될지 의문이다""라고 지적했다.
2022년 G20 환영 만찬에서 클라우스 슈밥 세계경제포럼 회장 부인 힐데 슈밥 여사와 인사하는 김건희 여사 (사진=대통령실 제공)
앞서 김 여사는 로저 비비에 제품을 공식 석상에서 여러 차례 착용한 바 있다. 김 여사는 2022년 11월 13일 캄보디아 프놈펜에서 한국 분식점을 운영하는 한인 청년을 만나 격려하는 자리에 로저 비비에의 '커브드 버클 펌프스' 제품을 착용했다. 이어 2022년 11월 15일 인도네시아 발리 가루다 위스누 끈짜나 문화공원에서 열린 주요 20개국(G20) 환영 만찬에서도 이 브랜드의 클러치 제품을 들고나왔다. 김 여사는 같은 제품을 이듬해 1월 예술의전당에서 열린 문화예술인 신년 인사회 때도 들었다. 이 제품 판매가는 100만원 후반으로 알려졌다.
김 여사의 로저 비비에 사랑은 특검 출석 때도 이어졌다. 김 여사는 지난 8월 민중기 특검팀에 피의자 신분으로 출석했는데, 검은색 정장 차림과 함께 신은 검은색 로저 비비에 구두가 포착됐다.
사진= 사진공동취재단
한편 민중기 특검팀은 지난 6일 김 여사의 주거지인 서울 서초구 아크로비스타를 압수 수색을 하면서 로저 비비에 가방과 함께 김 의원의 아내 이름이 적힌 메모지와 편지 등을 확인한 것으로 전해졌다. 김 의원 아내의 손편지에는 ""당 대표 당선을 도와줘서 감사하다""라는 내용이 적혀있었다고 알려졌다."
7,"국민의힘, 대검·법무부 찾아 ‘항소포기’ 규탄…“정성호·노만석 사퇴해야”","국민의힘이 '대장동 항소 포기'와 관련 대검찰청과 법무부 앞에서 잇따라 규탄 집회를 열었습니다.
국민의힘은 정성호 법무부 장관과 노만석 검찰총장 권한대행을 향해 사퇴를 촉구했고, 진상 규명을 위한 국정조사와 특검 수사 필요성을 강조했습니다.
장동혁 대표는 오늘(11일) 오전 서울 서초구 서초동 대검찰청 앞에서 열린 '긴급 현장 규탄대회'에서 ""단군 이래 최대의 개발 비리 범죄가 일부 무죄가 선고됐는데도 항소를 포기했다""며 ""더불어민주당 김병기 원내대표도 말한 것처럼 국정조사를 하고, 특검도 하자""고 말했습니다.
그러면서 ""지금 즉시 법원은 이재명 대통령 재판을 재개해야 한다""며 ""그것이 대한민국을 구하는 유일한 길""이라고 주장했습니다.
송언석 원내대표는 노 대행을 향해 ""권력의 바람 앞에 자기 스스로 벌렁 드러누워 버렸다. 검찰의 관뚜껑에 손수 못을 박아버린 자는 바로, 비겁하고 비굴한 검찰총장 직무대행""이라고 비판했습니다.
이어 ""노 대행의 선배였던 심우정 전 검찰총장은 윤석열 대통령 구속 취소 당시 즉시 항고를 포기한 이유로 특검의 수사까지 받았다""며 ""그렇다면 노 대행도 대장동 일당 항소 포기 결정으로 수사받아야 하지 않겠나""라고 밝혔습니다.
나경원 의원도 ""노 대행은 용산과 법무부를 고려했다며 단군 이래 최대의 정치 부역을 자백했다""며 ""즉각 사퇴해야 한다""고 주장했습니다.
또, 정성호 법무부 장관이 '대검에 신중히 판단해 달라는 의견을 전달했다'고 밝힌 데것에 대해 ""정 장관은 누구와 어떤 대화를 나눴고 그 지시를 어떻게 전달했는지 명명백백히 밝혀야 한다""고 요구했습니다.
국민의힘 지도부는 항소 포기 경위를 확인하기 위해 노만석 검찰총장 대행과의 면담을 요청했지만 노 대행이 연가 중이라 불발됐습니다.
이에 박철우 대검찰청 반부패부장과의 면담을 시도했지만, 이 역시 이뤄지지 못했습니다.
국민의힘 의원들은 오후에는 법무부를 찾아 규탄집회를 이어갔습니다.
송 원내대표는 ""'신중하게 잘 판단하라'는 그 한마디 이것이 바로 협박이고 이것이 바로 외압이 아니겠나""라며 ""대한민국 사법 시스템을 파괴시킨 장본인은 결코 대한민국의 법무부 장관으로 자리를 지킬 수가 없다""고 목소리를 높였습니다.
이어 ""법무부가 구체적인 사건에 대해서 노골적으로 외압을 가한 것이다. 명백하게 검찰청법을 위반한 것""이라며, 진상 규명을 위한 국정조사와 특검 수사 필요성을 강조했습니다.
장 대표는 규탄대회 이후 기자들과 만나 ""이번 항소 포기는 정성호 게이트""라고 주장하며, ""두 번이나 신중하게 판단하라고 한 것은 법무장관이 명백하게 수사 외압을 한 것""이라고 말했습니다.
국민의힘 의원들은 '직무유기 직권남용 항소포기 규탄한다' '정권방탄 정의파괴 법무장관 사퇴하라'는 등의 구호를 외쳤습니다.
국회 예산결산특별위원회의 경제 부처 예산안 부별 심사에서도 '대장동 항소 포기' 결정과 관련한 국민의힘 의원들의 비판이 이어졌습니다.
국민의힘 서범수 의원은 ""국무위원과 국회의원들이 예산을 한 푼이라도 아끼고, 효율적으로 쓰기 위해 노력을 하고 있다""며 ""그런데 정부 한 쪽에서는 성남 시민과 국민에게 돌아가야 할 7,800억 원을 범죄자 일당에게 돌려주는 터무니 없는 일이 벌어지고 있다""고 비판했습니다.
[사진 출처 : 연합뉴스]
■ 제보하기
▷ 전화 : 02-781-1234, 4444
▷ 이메일 : kbs1234@kbs.co.kr
▷ 카카오톡 : 'KBS제보' 검색, 채널 추가
▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!"
8,"'내란협조 공직자 조사' TF 추진…이 대통령 ""당연히 할 일""","지난해 비상계엄 사태에 가담한 공직자들을 대상으로 한 인사 조치 근거 마련 등을 위해 정부 차원의 TF를 추진합니다.
김민석 국무총리가 오늘(11일) 국무회의에서 ""'헌법존중 정부혁신 TF'를 정부 내에 구성할 것을 제안한다""고 언급하자, 이 대통령은 ""당연히 해야 할 일""이라며 즉각 수용했습니다.
구체적으로 김 총리는 ""내란혐의 수사와 재판이 장기화하면서 내란 극복이 지지부진한 상황""이라며 공직자들의 불법행위 가담 여부 등을 밝히는 TF 출범이 필요하다고 설명했습니다.
이에 이 대통령은 ""내란에 관한 문제는 특검에만 의존할 일이 아니고, 독자적으로 할 일""이라고 정부 자체 조사 필요성에 동의했습니다.
#대통령 #비상계엄 #국무회의
연합뉴스TV 기사문의 및 제보 : 카톡/라인 jebo23"
9,[단독] 대통령실 “대장동 항소 포기 사후 보고받아”…외압설 일축,"대통령실 “그런 문제 신경쓸만큼 한가하지 않다”
조직적 항명에 격앙…“검찰개혁 깃발만 올라가”
이재명 대통령. 연합뉴스
대통령실 고위 관계자는 10일 “검찰의 대장동 개발 비리 사건 항소 포기를 사후에 보고받았다”고 밝혔다. 검찰의 항소 포기 결정이 이재명 대통령의 사법리스크를 없애기 위한 대통령실의 ‘외압’에 따른 것이 아니냐는 세간의 의혹을 일축한 것이다.
대통령실 고위 관계자는 이날 한겨레와 한 통화에서 “대통령실에선 이번 문제에 관여할 동기가 전혀 없다”며 이렇게 말했다. 이 관계자는 이와 관련해 “(대장동 개발 비리 의혹 핵심 인물들이) 1심 판결에서 유죄가 나와서 법정구속 됐고, (유동규씨 등은) 검찰이 구형한 것보다 세게 형량을 받지 않았느냐”며 “검찰의 구형보다 세게 형량을 받은 건 수사 검사의 실패다. 오히려 (수사 검사가) 반성을 해야 하지 않냐”고 말했다.
대통령실 쪽에선 “그런 문제에 신경 쓸 만큼 대통령실은 한가하지 않다”며 선을 긋고 있지만 물밑에선 검찰 내부의 조직적 항명 움직임에 격앙된 반응이 감지된다. 이 관계자는 이날 전국 18개 지방검찰청의 검사장들이 노만석 검찰총장 직무대행에게 항소 포기 경위 설명을 요구하는 등 집단행동에 나선 데 대해서 “정치검찰의 조직적 저항이 시작됐고 일부 검사들이 부화뇌동하고 있는 것”이라고 불쾌감을 드러냈다. 그는 “우리가 떳떳하기 때문에 아무런 문제가 될 게 없다”며 “오히려 검찰개혁의 깃발만 더 올라갈 것”이라고 말했다."
10,"이재명 대통령 ""혐오 표현에 대한 처벌 장치 속히 마련"" [뉴시스Pic]","[서울=뉴시스] 최동준 기자 = 이재명 대통령이 11일 서울 용산 대통령실 청사에서 열린 국무회의에서 발언하고 있다. (대통령실통신사진기자단) 2025.11.11. photocdj@newsis.com
[서울=뉴시스]최동준 조재완 기자 = 이재명 대통령은 11일 최근 혐오 표현 논란과 관련해 ""혐오 표현에 대한 처벌장치를 속히 마련하고 허위 조작정보 유포 행위를 근본적으로 차단하고 엄정하게 처벌하는 데 총력을 기울여야 한다""고 말했다.
이 대통령은 이날 오전 용산 대통령실에서 열린 제49회 국무회의에서 ""경찰의 역할이 중요하니 잘 챙겨봐달라""며 이같이 말했다.
이 대통령은 ""우리 사회 일부에서 인종, 출신, 국가 이런 것들을 가지고 정말로 시대착오적인 차별 혐오가 횡행하고 있다""며 ""사회가 점차 양극화되고 있는 와중에 이렇게 극단적 표현들이 사회 불안을 계속 확대시키고 있다""고 말했다.
특히 ""SNS(사회관계망서비스) 등에서 특정 대상을 향한 혐오 표현이 무차별적으로 유포되고 허위정보 또는 조작정보가 범람하고 있다""고 지적했다.
이 대통령은 ""더 이상 이를 묵과해선 안 된다""며 ""이는 표현의 자유에 한계를 넘어서는 명백한 범죄 행위""라고 했다.
이 대통령은 최근 대한적십자사 회장의 인종차별 발언 논란이 제기되자 보건복지부에 감찰을 지시한 바 있다.
이 대통령은 해당 사건을 두고 ""얼마 전 한 기관장이 '하얀 얼굴, 까만 얼굴' 이런 소리를 했다""며 ""있을 수 없는 일을 하고도 멀쩡하게 살아있더라""고 했다.
혐오 표현을 포함한 '현수막 정치'도 지적했다.
이 대통령은 ""현수막을 달기 위한 정당을 만들고 있다고 하더라. 길바닥에 걸려있는 저질스럽고 수치스러운 그런 현수막을 정당이 (설치)한 것이라며 철거를 못한다고 하더라""고 지적하기도 했다.
이어 ""입법 취지에 벗어나는 악용 사례이지 않나""라며 ""정당이라고 현수막을 막 달게 하는 게 맞는 것인지 모르겠다""고 했다.
이 대통령은 ""현수막을 걸기 위한 정당을 만들기도 하고, 종교단체와 관계가 있다는 설도 있고 이게 정말 문제 같다""며 ""악용이 심하면 (현행법을) 개정을 하든지 없애든지 해야 되는 것 아니냐""고 재차 지적했다.
[서울=뉴시스] 최동준 기자 = 이재명 대통령이 11일 서울 용산 대통령실 청사에서 열린 국무회의에 입장하고 있다. (대통령실통신사진기자단) 2025.11.11. photocdj@newsis.com
[서울=뉴시스] 최동준 기자 = 이재명 대통령이 11일 서울 용산 대통령실 청사에서 열린 국무회의에서 참석자들과 국민의례를 하고 있다. (대통령실통신사진기자단) 2025.11.11. photocdj@newsis.com
[서울=뉴시스] 최동준 기자 = 이재명 대통령이 11일 서울 용산 대통령실 청사에서 열린 국무회의에서 의사봉을 두드리며 개회 선언을 하고 있다. (대통령실통신사진기자단) 2025.11.11. photocdj@newsis.com
[서울=뉴시스] 최동준 기자 = 이재명 대통령이 11일 서울 용산 대통령실 청사에서 열린 국무회의에서 발언하고 있다. (대통령실통신사진기자단) 2025.11.11. photocdj@newsis.com
[서울=뉴시스] 최동준 기자 = 윤호중 행정안전부 장관이 11일 서울 용산 대통령실 청사에서 열린 국무회의에서 발언하고 있다. (대통령실통신사진기자단) 2025.11.11. photocdj@newsis.com
[서울=뉴시스] 최동준 기자 = 정성호 법무부 장관이 11일 서울 용산 대통령실 청사에서 열린 국무회의에서 발언하고 있다. (대통령실통신사진기자단) 2025.11.11. photocdj@newsis.com
[서울=뉴시스] 최동준 기자 = 이재명 대통령과 김민석 국무총리가 11일 서울 용산 대통령실 청사에서 열린 국무회의에서 대화하고 있다. (대통령실통신사진기자단) 2025.11.11. photocdj@newsis.com
[서울=뉴시스] 최동준 기자 = 이재명 대통령이 11일 서울 용산 대통령실 청사에서 열린 국무회의에서 발언하고 있다. (대통령실통신사진기자단) 2025.11.11. photocdj@newsis.com"
11,오세훈 “세운상가 허물고 녹지 조성하면 최대 수혜자는 종묘”,"CBS라디오 인터뷰
“500ｍ 이상 떨어진 곳에 건물 지어 영향 없어“
김 총리 겨냥해 “국민 감정 자극해 선동”
오세훈 서울시장이 11일 서울시청 브리핑룸에서 서울시 청년취업사관학교 2.0 추진계획을 발표하고 있다./연합뉴스
오세훈 서울시장은 11일 유네스코 세계유산인 종묘(宗廟) 맞은편 세운4구역 재개발 사업 논란과 관련해 세운상가를 허물고 녹지를 만들면 최대 수혜자는 종묘가 될 것이라고 했다.
오 시장은 이날 CBS ‘김현정의 뉴스쇼’에 출연해 “서울시의 계획이 문화와 경제를 다 챙기는 방안”이라며 이같이 말했다. 세운4구역 재개발사업은 최고 142m 높이의 업무시설·오피스텔 등을 조성하는 것으로, 지난 7월 서울시 도시재정비위원회 심의를 거쳐 확정됐다.
오 시장은 세운4구역이 종묘 경계로부터 170ｍ 떨어진 곳에서 첫 건축물이 시작하고 종로변과 청계천변도 약 150ｍ가량 떨어져 있다고 설명했다. 이어 종묘 정문부터 정전(正殿)까지는 300ｍ가량 거리가 있어 정전부터 청계천변 고층 빌딩까지는 500ｍ 이상 거리를 두게 된다고 설명했다.
오 시장은 최근 세운4구역 재개발 사업 계획에 대해 비판하고 나선 김민석 국무총리를 겨냥해 “500ｍ 떨어진 곳에 100층 150층 건물을 짓는데 김 총리께선 ‘숨이 턱 막힌다’, ‘기가 눌린다’는 감성적인 표현을 쓴다”며 “그럴 게 아니라 과학적으로 이야기해야 한다. 자꾸 국민감정을 자극하려는데 (이는) 선동”이라고 말했다.
오 시장은 세운상가 일대의 낙후된 모습을 보여주면서 “이런 모습이 이렇게 장기간 방치되는 것은 높이 제한 때문”이라며 “높이를 낮게 지으라고 하면 경제성이 없으니까 개발을 안하는 것”이라고 했다.
오 시장은 세운4구역 재개발 사업의 고층 건물 조성을 통해 얻게 되는 수익이 사업 구역의 이주, 주변 녹지 조성 등을 위한 비용으로 사용되기 때문에 투입될 세금을 아끼는 것이라는 논리를 펼쳤다. 이어 종묘 앞에서 남산까지 이어질 녹지 축과 재개발 사업으로 조성될 건물들의 조감도를 제시하고 “이게 훨씬 더 종묘를 돋보이게 할 것”이라며 “고층 건물들은 종묘 정면이 아니라 양 옆으로 세워진다”고 말했다."
